trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.3, 'e': 0.12873490358780418}",20,0,26.73173985613741,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.3, 'e': 0.1255564274931972}",20,0,28.040218809908605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.3, 'e': 0.12245642825298189}",30,0,34.02543339698881,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.3, 'e': 0.11943296826671962}",30,16,26.518904675940473,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.11648415777349697}",25,11,22.763222392577376,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.11360815367076371}",25,14,2.5917195163295554,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.11080315836233387}",20,0,18.286382535939573,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.10806741863482927}",25,10,26.665577010179195,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.10539922456186433}",20,15,7.906461758368952,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.1027969084352864}",20,8,21.14742788682353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.1002588437228037}",20,0,33.92294906567234,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.3, 'e': 0.09778344405135005}",20,9,-0.5265728217764902,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.09536916221554961}",30,12,-18.177572702700175,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.3, 'e': 0.09301448921066349}",30,13,18.826220236001035,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.09071795328941248}",25,11,6.652178056892059,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.08847811904208727}",25,20,10.397598211299226,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.3, 'e': 0.0862935864993705}",30,16,-13.73249233250979,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.3, 'e': 0.08416299025731036}",20,8,20.280062198014626,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.0820849986238988}",20,11,16.64058804049719,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.08005831278672051}",20,9,2.7172184528150254,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.07808166600115313}",30,13,32.45717243442559,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.07615382279861033}",25,19,11.64128808660504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.07427357821433388}",25,20,8.208380542588213,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.07243975703425147}",30,16,25.409056316671546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.3, 'e': 0.07065121306042955}",25,0,-5.476383074621267,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
