trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,14,19.623407775807856,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.3412977553009937}",20,0,-38.233847112187576,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.3328710836980795}",20,11,16.05821019303354,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.32465246735834974}",20,2,3.9503242542295047,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.31663676937905316}",25,0,-40.98612399488715,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.3088189796880198}",20,0,23.76861069605716,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.301194211912202}",20,8,-16.332787674704175,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.2937577003235328}",30,0,-7.4075696973629945,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.2865047968601901}",25,5,-25.719944342354314,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.2794309682214073}",25,19,11.571432166018772,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,14,-8.719489799406663,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.26580295908892654}",20,0,-50.09094744404529,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.2592402606458915}",30,8,12.89337169427675,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.25283959580474646}",20,13,14.0529204724093,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,15,11.399075857298351,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.24050846320834215}",25,0,-24.61510739217398,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.2345702880937976}",25,0,20.347389624288123,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.22877872704522242}",30,10,-2.1899958567411613,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.22313016014842985}",20,16,8.264741314392634,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.21762105686523284}",20,0,-12.419339853277762,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,13,12.146865508784597,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.20700755268115262}",30,13,13.989509595916706,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.2018965179946554}",30,20,6.718005283179758,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.19691167520419403}",25,7,5.884244438573894,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.19204990862075408}",30,11,-6.274931901968155,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.18730817948195702}",20,0,31.377615103352884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.1826835240527346}",20,0,12.729897164843983,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.1781730517728984}",30,3,-20.057161551249205,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.1737739434504451}",20,9,-35.8708150467475,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.16948344949947006}",25,0,31.81745969005738,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,5,24.282499211130975,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.16121764412977674}",25,0,-31.029762701578225,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.1572371663136276}",25,8,-12.065575867966313,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.15335496684492847}",25,17,13.904144449107722,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.14956861922263504}",30,20,18.326485443870396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.14587575685622736}",25,15,-19.847523276111794,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.14227407158651353}",25,19,11.921601808435517,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.13876131224295524}",20,1,18.967423324072346,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,10,18.4208698881622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.13199384318783022}",20,10,19.478057944591953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.12873490358780418}",25,15,-5.395336542369205,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.1255564274931972}",20,0,28.131993872609634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.12245642825298189}",25,11,12.820951465721354,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.11943296826671962}",20,5,-34.70526831299067,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.11648415777349697}",20,0,-10.168790081864527,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.11360815367076371}",25,10,7.798266075675525,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,13,-9.571639678473591,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10806741863482927}",20,4,18.80758861654589,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.10539922456186433}",25,2,25.046979683582926,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.1027969084352864}",25,0,34.682496890373756,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
